berry-5,4,3,3,2,0,6.168022791544597,0.9,0.0,0.4920634920634921,0.9047619047619048
cpp_peglib-4,4,3,3,3,0,5.5794572830200195,0.9333333333333332,0.6666666666666666,0.3297872340425532,0.9893617021276596
cppcheck-8,4,3,3,3,0,9.681378920873007,0.9333333333333332,0.0,0.6309523809523809,0.9880952380952381
cppcheck-9,4,3,3,3,0,6.008955796559651,0.8666666666666667,0.0,0.30588235294117644,0.9176470588235294
cppcheck-11,4,3,3,3,0,12.26552645365397,0.9533333333333333,0.0,0.6588235294117647,0.9882352941176471
cppcheck-25,4,3,3,3,0,5.000438133875529,0.9633333333333333,0.0,0.32941176470588235,0.9882352941176471
exiv2-13,4,1,1,1,0,24.158961296081543,1.0,0.0,0.0,0
exiv2-15,4,3,3,3,0,21.99570329984029,0.7999999999999999,0.0,0.25,0.75
libtiff-1,4,1,1,1,0,27.24265193939209,1.0,0.0,0.24390243902439024,0.24390243902439024
openssl-14,4,3,3,0,0,8.47227152188619,0.7333333333333334,0.0,0.0,0
openssl-24,4,3,3,0,0,21.465806881586712,0.6666666666666666,0.0,0.0,0
yara-1,4,3,3,3,0,13.578353007634481,0.9333333333333332,0.0,0.9950248756218906,0.9950248756218906
yara-2,4,3,3,3,0,4.498216152191162,0.8,1.0,0.9959016393442623
berry-5,2,3,3,2,0,6.439072211583455,0.9666666666666667,0.0,0.5714285714285715,0.9047619047619048
cpp_peglib-4,2,3,3,3,0,6.89890178044637,0.9,0.0,0.9893617021276596,0.9893617021276596
cppcheck-8,2,3,3,3,0,5.278512477874756,0.9,0.0,0.9523809523809524,0.9880952380952381
cppcheck-9,2,3,3,3,0,7.057560443878174,0.7999999999999999,0.0,0.6588235294117647,0.9882352941176471
cppcheck-11,2,3,3,3,0,8.982157707214355,0.8666666666666666,0.0,0.9843137254901961,0.9882352941176471
cppcheck-25,2,3,3,3,0,5.3257670402526855,0.8666666666666667,0.0,0.0,0
exiv2-15,2,1,1,1,0,20.933001279830933,0.9,0.0,0.75,0.75
libtiff-1,2,1,1,1,0,21.602384567260742,0.9,0.0,0.9878048780487805,0.9878048780487805
openssl-14,2,3,3,0,0,6.380281448364258,0.9499999999999998,0.0,0.0,0
openssl-24,2,3,3,0,0,19.763479073842365,0.7999999999999999,0.0,0.0,0
yara-1,2,3,3,3,0,18.58765435218811,0.85,0.0,0.9950248756218906,0.9950248756218906
yara-2,2,3,3,3,1,6.615778207778931,0.8933333333333334,0.0,0.9972677595628415,1.0
berry-5,1,3,3,1,0,7.514117399851481,0.9,0.0,0.2698412698412698,0.8095238095238095
cpp_peglib-4,1,3,3,3,0,9.768522421518961,0.8333333333333334,0.0,0.6276595744680851,0.9893617021276596
cppcheck-8,1,3,3,3,0,8.513027985890707,0.8666666666666667,0.0,0.9523809523809524,0.9880952380952381
cppcheck-9,1,3,3,3,0,7.712420066197713,0.8666666666666667,0.0,0.6588235294117647,0.9882352941176471
cppcheck-11,1,3,3,3,0,10.396785736083984,0.9666666666666667,0.0,0.9882352941176471,0.9882352941176471
cppcheck-25,1,3,3,3,0,8.829736630121866,0.8833333333333334,0.3333333333333333,0.32941176470588235,0.9882352941176471
exiv2-15,1,3,3,3,1,19.979804674784344,1.0,0.0,0.5833333333333334,1.0
libtiff-1,1,2,2,2,0,23.250651478767395,0.8,0.0,0.9878048780487805,0.9878048780487805
openssl-14,1,3,3,0,0,6.608611981074016,0.8333333333333334,0.0,0.0,0
openssl-24,1,2,2,0,0,21.2060307264328,0.9,0.0,0.0,0
yara-1,1,3,3,3,0,13.839920043945312,0.8333333333333334,0.0,0.9950248756218906,0.9950248756218906
yara-2,1,3,3,3,0,4.606029748916626,0.9,0.0,0.9959016393442623,0.9959016393442623
dlt_daemon-1,1,3,3,3,1,18.69323952992757,0.7833333333333333,0.0,0.9880952380952381,1.0
exiv2-20,1,3,3,3,0,15.287689685821533,0.9633333333333333,0.0,0.2222222222222222,0.6666666666666666
yaml_cpp-6,1,3,3,3,0,32.993610858917236,0.7333333333333334,0.0,0.6222222222222222,0.9333333333333333
dlt_daemon-1,2,1,1,1,1,9.580684900283813,0.8,0.0,1.0,1.0
exiv2-20,2,3,3,3,0,17.98404582341512,0.9666666666666667,0.0,0.2222222222222222,0.6666666666666666
yaml_cpp-6,2,3,3,3,0,27.8628351688385,0.9666666666666667,0.0,0.6222222222222222,0.9333333333333333
dlt_daemon-1,3,1,1,1,0,11.210012435913086,1.0,0.0,0.9821428571428571,0.9821428571428571
exiv2-20,3,2,2,2,0,15.417494773864746,0.7,0.0,0.6666666666666666,0.6666666666666666
yaml_cpp-6,3,3,3,3,0,32.808394034703575,0.6666666666666666,0.0,0.3111111111111111,0.9333333333333333
dlt_daemon-1,4,1,1,1,1,9.634700775146484,1.0,0.0,1.0,1.0
exiv2-20,4,3,3,3,0,9.610364278157553,1.0,0.0,0.4444444444444444,0.6666666666666666
yaml_cpp-6,4,3,3,3,0,30.1566055615743,0.7833333333333332,0.0,0.3111111111111111,0.9333333333333333
dlt_daemon-1,1,1,1,1,0,14.679300308227539,1.0,0.0,0.9821428571428571,0.9821428571428571
libtiff-1,1,1,1,1,0,24.89398956298828,0.9,0.0,0.9878048780487805,0.9878048780487805
dlt_daemon-1,2,1,1,1,0,10.315993547439575,0.9,0.0,0.9821428571428571,0.9821428571428571
dlt_daemon-1,3,1,1,1,0,11.580953598022461,0.8,0.0,0.0,0
libtiff-1,3,3,3,3,0,23.892462889353435,0.8000000000000002,0.0,0.7398373983739838,0.9878048780487805
